DATE,TK,IMRA,GLOP,CAAP,TC
10/20/2021,3.76,3.63,4.61,5.81,2.18
10/21/2021,3.7,3.6,4.54,5.9,2.18
10/22/2021,3.68,3.57,5.19,5.94,2.35
10/25/2021,3.73,3.63,5.48,5.91,2.19
10/26/2021,3.62,3.62,5.3,5.82,2.2
10/27/2021,3.55,3.57,5.11,5.71,2.29
10/28/2021,3.56,3.65,5.24,5.68,2.32
10/29/2021,3.54,3.6,5.58,5.64,2.37
11/01/2021,3.63,3.85,5.87,5.64,2.35
11/02/2021,3.55,4.05,5.5,5.6,2.39
11/03/2021,3.74,4.03,5.55,5.76,2.28
11/04/2021,3.6,3.9,5.59,5.75,2.21
11/05/2021,3.59,3.82,5.68,5.76,2.02
11/08/2021,3.66,3.71,5.41,5.77,2.1
11/09/2021,3.75,3.91,5.32,5.84,2.1
11/10/2021,3.63,3.74,5.15,6.02,2.15
11/11/2021,3.64,3.7,5.37,6.16,2.13
11/12/2021,3.57,3.57,5.39,6.06,2.31
11/15/2021,3.57,3.59,5.22,6.06,2.3
11/16/2021,3.54,3.28,5.1,6,2.22
11/17/2021,3.5,3.17,5.04,5.87,2.21
11/18/2021,3.46,3.35,4.99,6.09,1.94
11/19/2021,3.4,3.3,4.93,6.03,1.84
11/22/2021,3.44,3.15,5.1,5.97,1.78
11/23/2021,3.42,3.18,5.12,6,1.83
11/24/2021,3.42,3.42,4.95,6.04,1.81
11/26/2021,3.27,3.28,4.84,5.8,1.7
11/29/2021,3.27,3.09,4.78,5.71,1.85
11/30/2021,3.32,3.38,4.54,5.76,2.01
12/01/2021,3.2,3.12,4.84,5.6,2.13
12/02/2021,3.24,2.93,4.86,5.91,2.28
12/03/2021,3.19,2.88,4.74,5.68,3.3
12/06/2021,3.22,2.85,4.52,5.88,2.79
12/07/2021,3.34,3.05,4.69,5.82,2.75
12/08/2021,3.38,2.91,4.71,5.75,2.74
12/09/2021,3.29,2.96,4.54,5.79,2.77
12/10/2021,3.3,2.83,4.5,5.8,2.85
12/13/2021,3.23,2.78,4.27,5.72,2.78
12/14/2021,3.16,2.46,4.17,5.7,2.73
12/15/2021,3.15,2.3,4.21,5.71,2.74
12/16/2021,3.13,2.25,4.18,5.69,2.76
12/17/2021,3.11,2.29,4.28,5.64,2.6
12/20/2021,3.07,2.42,4.21,5.75,2.66
12/21/2021,3.15,2.27,4.27,5.7,2.66
12/22/2021,3.21,2.36,4.33,5.68,2.65
12/23/2021,3.22,2.49,4.27,5.64,2.66
12/27/2021,3.24,2.45,4.21,5.69,2.75
12/28/2021,3.16,2.35,4.19,5.67,2.83
12/29/2021,3.1,2.29,4.2,5.76,2.78
12/30/2021,3.09,2.27,4.13,5.74,2.83
12/31/2021,3.14,2.25,4.26,5.77,2.83
01/03/2022,3.29,2.41,4.43,5.98,2.93
01/04/2022,3.3,2.39,4.45,6.04,3.02
01/05/2022,3.22,2.14,4.3,5.88,3
01/06/2022,3.28,2.15,4.45,5.8,2.98
01/07/2022,3.3,2.05,4.52,5.8,2.99
01/10/2022,3.3,2.04,4.43,5.8,2.99
01/11/2022,3.33,2.09,4.52,5.7,2.83
01/12/2022,3.37,1.97,4.59,5.72,2.87
