County,State,Education.Bachelor's Degree or Higher,Population.2020 Population
Abbeville County,SC,15.6,24295
Acadia Parish,LA,13.3,57576
Accomack County,VA,19.5,33413
Ada County,ID,38.5,494967
Adair County,IA,18.5,7496
Adair County,KY,15.7,18903
Adair County,MO,31,25314
Adair County,OK,11.6,19495
Adams County,CO,24.3,519572
Adams County,IA,15.6,3704
Adams County,ID,21.2,4379
Adams County,IL,25,65737
Adams County,IN,15.5,35809
Adams County,MS,17.4,29538
Adams County,ND,25.6,2200
Adams County,NE,24.3,31205
Adams County,OH,13.2,27477
Adams County,PA,22.3,103852
Adams County,WA,14.3,20613
Adams County,WI,13.9,20654
Addison County,VT,39.6,37363
Aiken County,SC,26.4,168808
Aitkin County,MN,18.1,15697
Alachua County,FL,43.3,278468
Alamance County,NC,24.8,171415
Alameda County,CA,47.4,1682353
Alamosa County,CO,25,16376
Albany County,NY,41.8,314848
Albany County,WY,51.8,37066
Albemarle County,VA,55.1,112395
Alcona County,MI,16.9,10167
Alcorn County,MS,17.1,34740
Aleutians East Borough,AK,11.5,3420
Aleutians West Census Area,AK,17,5232
Alexander County,IL,12.9,5240
Alexander County,NC,14.2,36444
Alexandria city,VA,63.1,159467
Alfalfa County,OK,21.8,5699
Alger County,MI,17.4,8842
Allamakee County,IA,17.8,14061
Allegan County,MI,22.6,120502
Allegany County,MD,18.9,68106
Allegany County,NY,20.9,46456
Alleghany County,NC,17.3,10888
Alleghany County,VA,15,15223
Allegheny County,PA,41.6,1250578
Allen County,IN,28.5,385410
Allen County,KS,20.3,12526
Allen County,KY,16.1,20588
Allen County,OH,18.9,102206
Allen Parish,LA,11.3,22750
Allendale County,SC,9.2,8039
Alpena County,MI,18,28907
Alpine County,CA,34.5,1204
Amador County,CA,19.3,40474
Amelia County,VA,17.1,13265
Amherst County,VA,19.1,31307
Amite County,MS,12.6,12720
Anchorage Municipality,AK,36.1,291247
Anderson County,KS,18.1,7836
Anderson County,KY,20.2,23852
Anderson County,SC,22.2,203718
Anderson County,TN,23.3,77123
Anderson County,TX,10.6,57922
Andrew County,MO,24.9,18135
Andrews County,TX,12.2,18610
Androscoggin County,ME,22.8,111139
Angelina County,TX,16.9,86395
Anne Arundel County,MD,41.7,588261
Anoka County,MN,30.5,363887
Anson County,NC,11.3,22055
Antelope County,NE,18.4,6295
Antrim County,MI,28.8,23431
Apache County,AZ,12.3,66021
Appanoose County,IA,16.3,12317
Appling County,GA,9.8,18444
Appomattox County,VA,20.9,16119
Aransas County,TX,21.9,23830
Arapahoe County,CO,42.8,655070
Archer County,TX,23.9,8560
Archuleta County,CO,37.2,13359
Arenac County,MI,12.6,15002
Arkansas County,AR,15.8,17149
Arlington County,VA,75.3,238643
Armstrong County,PA,16.7,65558
Armstrong County,TX,22.8,1848
Aroostook County,ME,19.2,67105
Arthur County,NE,26.2,434
Ascension Parish,LA,26.4,126500
Ashe County,NC,19.7,26577
Ashland County,OH,20.9,52447
Ashland County,WI,19.8,16027
Ashley County,AR,12.3,19062
Ashtabula County,OH,14.3,97574
Asotin County,WA,21.4,22285
Assumption Parish,LA,9.6,21039
Atascosa County,TX,14.4,48981
Atchison County,KS,22,16348
Atchison County,MO,23.1,5305
Athens County,OH,30.2,62431
Atkinson County,GA,12.2,8286
Atlantic County,NJ,28.1,274534
Atoka County,OK,15,14143
Attala County,MS,13.9,17889
Audrain County,MO,14.7,24962
Audubon County,IA,17.1,5674
Auglaize County,OH,18.9,46422
Augusta County,VA,22.7,77487
Aurora County,SD,21.5,2747
